code,abbr,Name,State_name,value,Latitude,Longitude,returned address
310,DI,Dibrugarh,Assam,3.26011151,27.4728327,94.9119621,"Dibrugarh, Assam, India"
315,NC,Dima Hasao,Assam,3.885998263,25.3478004,93.0175712,"Dima Hasao, Assam, India"
265,DI,Dimapur,Nagaland,0.018478872,25.8629885,93.7536663,"Dimapur, Nagaland, India"
612,DI,Dindigul,Tamilnadu,1.702955169,10.3673123,77.9802906,"Dindigul, Tamil Nadu, India"
453,DI,Dindori,Madhya Pradesh,10.547547,22.8457457,81.0754657,"Dindori, Madhya Pradesh, India"
494,DI,Diu,Daman & Diu,6.56757691,20.7144094,70.9873719,"Diu, Daman and Diu 362520, India"
16,DO,Doda,Jammu & Kashmir,1.883220795,33.0469201,75.6208088,Doda
485,DA,Dohad,Gujarat,2.999878707,34.0688519,-118.4041477,"8631 W 3rd St Suite 635E, Los Angeles, CA 90048, USA"
362,DU,Dumka,Jharkhand,13.79402199,24.2854664,87.2419299,"Dumka, Jharkhand, India"
124,DU,Dungarpur,Rajasthan,12.62682276,23.841668,73.7146623,"Dungarpur, Rajasthan 314001, India"
409,DU,Durg,Chhattisgarh,12.06116741,21.1904494,81.2849169,"Durg, Chhattisgarh, India"
93,ED,East,Delhi,0.447539585,37.09024,-95.712891,"Independence, KS 67301, USA"
204,EC,East Champaran,Bihar,5.186129819,26.6098139,84.8567932,"Purvi Champaran, Bihar, India"
244,ES,East District,Sikkim,15.77315989,37.2237972,-95.7034662,"300 E Main St, Independence, KS 67301, USA"
294,EG,East Garo Hills,Meghalaya,0.553603614,25.5671692,90.5257823,"East Garo Hills, Meghalaya, India"
545,EG,East Godavari,Andhra Pradesh,17.66293593,17.32125,82.0407137,"East Godavari, Andhra Pradesh, India"
247,EK,East Kameng,Arunachal Pradesh,0,27.4231261,93.0175712,East Kameng
298,EK,East Khasi Hills,Meghalaya,2.351311625,25.3681768,91.7538817,"East Khasi Hills, Meghalaya, India"
466,EN,East Nimar,Madhya Pradesh,12.40705585,21.8802526,76.6412712,"Khandwa, Madhya Pradesh, India"
251,ES,East Siang,Arunachal Pradesh,0,28.1097051,95.1432068,"East Siang, Arunachal Pradesh, India"
595,ER,Ernakulam,Kerala,5.071612497,9.9816358,76.2998842,"Ernakulam, Kerala, India"
610,ER,Erode,Tamilnadu,7.344085296,11.3410364,77.7171642,"Erode, Tamil Nadu, India"
201,ET,Etah,Uttar Pradesh,21.88359407,27.5587505,78.662567,"Etah, Uttar Pradesh, India"
161,EW,Etawah,Uttar Pradesh,18.51676244,26.8117116,79.0046898,"Etawah, Uttar Pradesh, India"
177,FZ,Faizabad,Uttar Pradesh,25.25176083,26.7732476,82.1441643,"Faizabad, Uttar Pradesh, India"
88,FR,Faridabad,Haryana,6.565056834,28.4089123,77.3177894,"Faridabad, Haryana, India"
45,FR,Faridkot,Punjab,9.211216697,30.593204,74.8273184,"Faridkot, Punjab, India"
159,GR,Farrukhabad,Uttar Pradesh,17.58695611,27.3826126,79.5940544,"Farrukhabad, Uttar Pradesh, India"
78,FT,Fatehabad,Haryana,18.23014806,29.5077159,75.4519516,"Fatehabad, Haryana 125050, India"
40,FT,Fatehgarh Sahib,Punjab,16.42387151,30.6479174,76.3897733,"Fatehgarh Sahib, Punjab, India"
172,FT,Fatehpur,Uttar Pradesh,18.18148669,25.8499808,80.8986502,"Fatehpur, Uttar Pradesh, India"
147,FI,Firozabad,Uttar Pradesh,33.23051082,27.1591961,78.3957331,"Firozabad, Uttar Pradesh, India"
43,FI,Firozpur,Punjab,12.80534865,30.9331348,74.6224755,"Ferozepur, Punjab, India"
561,GA,Gadag,Karnataka,8.072742985,15.4026326,75.6208088,"Gadag, Karnataka, India"
508,GA,Gadchiroli,Maharashtra,7.615509506,19.4968732,80.2767327,"Gadchiroli, Maharashtra, India"
389,GP,Gajapati,Orissa,19.45425628,19.1912221,84.1857115,"Gajapati, Odisha, India"
11,GB,Ganderbal,Jammu & Kashmir,66.86928047,34.2164955,74.7719431,Ganderbal 191201
473,GA,Gandhinagar,Gujarat,14.69944739,23.2156354,72.6369415,"Gandhinagar, Gujarat, India"
99,GA,Ganganagar,Rajasthan,27.87014617,29.9038399,73.8771901,"Sri Ganganagar, Rajasthan 335001, India"
388,GN,Ganjam,Orissa,14.02367959,19.387389,85.0515413,"Ganjam, Odisha 761026, India"
346,GA,Garhwa,Jharkhand,11.25504996,24.1084558,83.6773928,"Garhwa, Jharkhand, India"
61,PG,Garhwal,Uttarakhand,6.565095865,29.8687682,78.8382644,"Pauri Garhwal, Uttarakhand, India"
141,GB,Gautam Buddha Nagar,Uttar Pradesh,8.412641108,28.338333,77.6077865,"Gautam Buddh Nagar, Uttar Pradesh, India"
236,GA,Gaya,Bihar,14.24870053,24.7913957,85.0002336,"Gaya, Bihar, India"
140,GZ,Ghaziabad,Uttar Pradesh,28.27125935,28.6691565,77.4537578,"Ghaziabad, Uttar Pradesh, India"
195,GP,Ghazipur,Uttar Pradesh,55.79835526,25.5840419,83.5770202,"Ghazipur, Uttar Pradesh 233001, India"
349,GI,Giridih,Jharkhand,10.60857731,24.19135,86.2996368,"Giridih, Jharkhand, India"
302,GP,Goalpara,Assam,2.524343299,26.0875755,90.563609,"Goalpara, Assam, India"
351,GO,Godda,Jharkhand,10.29042649,24.7850676,87.3016132,"Godda, Jharkhand, India"
313,GG,Golaghat,Assam,1.610290865,26.5238515,93.962337,"Golaghat, Assam, India"
183,GN,Gonda,Uttar Pradesh,17.06009955,27.0374187,81.9534815,"Gonda, Uttar Pradesh, India"
507,GO,Gondiya,Maharashtra,10.44304491,21.4624491,80.2209773,"Gondia, Maharashtra, India"
217,GO,Gopalganj,Bihar,10.47106727,26.4685472,84.4433318,"Gopalganj, Bihar, India"
188,GR,Gorakhpur,Uttar Pradesh,13.72943967,29.4438165,75.6702647,"Gorakhpur, Haryana 125047, India"
